objectid,filename,title,date,director,cast,genre,synopsis,format
coll011,11.jpg,Rekrut,2010,Danny Añonuevo,"Archie Adamos, Acey Aguilar, Rich Asuncion",Drama,"What is the measure of true friendship? Jamir, a devout Muslim, and Lando, a Christian, are among an elite group of young recruits formed by military officers for a classified operation. These impressionable young men would undergo intense and grueling training that put their will and strength of character to the test. Amidst all the hardships, these men set aside their differences and became brothers. But what happens when the institution they have sworn to protect becomes the wedge that will tear their brotherhood apart?",image/jpeg
coll012,12.jpg,"Sampaguita, National Flower",2010,Francis Pasion,Marlon Abalos,Drama,"This film tells the story of a group of children whose lives are inexorably bound up with Sampaguita the national flower of Philippines and the myths that surround it. Sampaguita blossoms are much sought-after but, since they wilt quickly, they must be sold within twenty-four hours. All the children in this film are are all sampaguita pickers or sellers.",image/jpeg
coll013,13.jpg,"Si Techie, Si Teknoboy at Si Juana B",2010,Art Katipunan,"Danilo Barrios, Mercedes Cabral, Rizza Calderon",Drama; Comedy,"Techie and Jay, both OFWs from Qatar, decide to come home for two weeks to get married. Unknown to Jay, Techie is nurturing a plan to meet her virtual lover, Teknoboy, before her wedding day.",image/jpeg
coll014,14.jpg,Vox Populi,2010,Dennis Marasigan,"Irma Adlawan, Ces Aldaba, Bobby Andrews",Drama,"San Cristobal mayoralty candidate Connie de Gracia is hearing mass, in the hopes that her fealty with the Catholic God translates to votes. After all, the voice of the people is the voice of God. If one is assured of God’s undying support because of her utmost religiosity and sincerity, then the votes will simply follow. However, politics in the Philippines is not as divinely blessed as one would wish.",image/jpeg
coll015,15.jpg,Bisperas,2011,Jeffrey Jeturian,"Julia Clarete, Tirso Cruz III, Raquel Villavicencio",Drama,"The eve of Christmas, the Aguinaldo family’s residence is burglarized, causing its members to identify stolen items and uncover lingering sentiments they have hidden from each other. Amidst the tension brought about by the burglary, the Aguinaldo family realizes how treasured sentiments have been lost, relationships have evolved as they arrive from church at a house in shambles.",image/jpeg
coll016,16.jpg,Busong,2011,Auraeus Solito,Alessandra de Rossi,Drama,"Punay was born with wounds on her feet so that she cannot step on the earth. Her brother, Angkarang, carries her through a hammock, as he searches the changing landscape of Palawan in hoping to find a healer who can cure Punay. Different people help him carry his sister along the way- a woman looking for her husband, a fisherman who lost his boat, and a young man who is searching for himself- and each one meets their fate.",image/jpeg
coll017,17.jpg,Isda,2011,"Adolfo Alix, Jr.","Cherry Pie Picache, Bembol Roco, Anita Linda",Drama,"Impoverished, childless and living in a garbage dump, Miguel and Lina become instant celebrities when Lina miraculously becomes pregnant. But Lina gives birth to a fish, which increases her celebrity but leaves Miguel humiliated and the couple at odds. What follows is an illuminating examination of how this unusual family copes and compromises in the face of a modern-day miracle.",image/jpeg
coll018,18.jpg,Patikul,2011,Joel Lamangan,"Marvin Agustin, Allen Dizon, Glaiza de Castro",Drama,"The long-standing conflict between the military forces and the rebel group Abu Sayaff has severely ravaged the poor town of Patikul in Sulu. Residents have become so accustomed to the armed clashes, that reports of kidnappings and recruitment of young Tausugs to join the rebel groups already became normal news to them. However, Amman, a 33 year old coffee farmer in Sitio Kan-Ague, continues to believe that there is still hope for their town. Amman believes that educating his children would change their present situation. ",image/jpeg
coll019,19.jpg,Amok,2011,Lawrence Fajardo,"Mark Gil, Noni Buencamino, Gary Lim",Crime,"The bustling and sweltering rugged intersection of Pasay Rotonda serves as the main setting for this story of interconnected fate and destiny. As a raging man’s bullets strays into different directions, the fate of several different characters are sealed and determined. As the temperature rises, the tension escalates and the story unravels with unforgiving immediacy and explodes in the end as each one struggles to survive and escape their inevitable end.",image/jpeg
coll020,20.jpg,Ang Babae sa Septic Tank,2011,Marlon Rivera,"Eugene Domingo, JM De Guzman, Kean Cipriano, Cai Cortez",Comedy,"Cynical filmmakers plan on producing a bleak, independent film dealing with poverty and prostitution in the hopes of scoring free travel to international film festivals.",image/jpeg
coll021,21.jpg,Bahay Bata,2011,Eduardo Roy Jr.,"Diana Zubiri, Sue Prado, Susan Africa",Drama,"Sarah is a nurse at a Public Maternity Hospital. The hospital is abuzz with pregnant mothers of all shapes and sizes in different stages of labor. The hospital is short on staff on Christmas Day so Sarah is forced to put in a double shift. Sarah observes the women coming and going in her ward, noting who is a first-timer and who is a veteran. Meanwhile, the wards are overcrowded : two women and their babies sharing single beds while those in labor are spilling unto the hallways. Sarah takes these all in stride, her heart and mind laboring over her own personal pains. ",image/jpeg
coll022,22.jpg,Cuchera,2011,Joseph Israel Laban,"Maria Isabel Lopez, Simon Ibarra, CJ Ramos",Drama,"Based on a true story, Cuchera is about Filipino drug mules, drug couriers and their recruiters. It follows the story of Isabel, a veteran drug mule, in her first attempt at running her own drug transshipment operation between Manila and China. Isabel’s character is based on the story of an actual Filipina drug mule who was caught with eight capsules of heroin lodged in her sex organ, 48 in the rectum and 11 in her abdomen after an x-ray was conducted by Chinese authorities. Cuchera presents an accurate depiction of how some Filipinos end up becoming entrenched in the world of illegal drugs. Currently, the Philippines leads all Southeast Asian countries in the number of nationals arrested for drug smuggling charges in China. As of 2009, there are currently 95 Filipinos languishing in various jails in Chinese territories—four of whom are on death row. Violators include minors who enter China with fake passports.",image/jpeg
coll023,23.jpg,I-Libings,2011,Rommel Sales,"Glaiza de Castro, Rez Cortez, Louella de Cordova",Drama,"A coming of age story about Isabel’s lessons and realizations on life and death as a funeral videography intern. Due to her family situation, Isabel is cynical and skeptical of everything that comes her way. When she enters the I-libings for her required college internship, she sees it as the worst internship her college adviser could suggest to her. Later as she accumulates her required hours, she realizes that the company is not just a place where videographers make money out of other people’s misfortunes but is a place where the dead and the grieving receive special attention. It all comes full circle when Isabel is faced with an unusual family tragedy. Isabel realizes that her internship might have been just 200 hours, but the lessons that the I-libings left her would last a lifetime.",image/jpeg
coll024,24.jpg,"Ligo na Ü, Lapit na Me",2011,Erick C. Salud,"Edgar Allan Guzman, Mercedes Cabral",Romance,"College senior Intoy (Edgar Allan Guzman) is unwittingly fallen into a friend-with-benefits situation with his mysterious classmate Jenny (Mercedes Cabral). Jenny has a reputation for being promiscuous, and Intoy plays aloof to hide the fact that he’s fallen in love with her. Slowly, Jenny opens up to him as well, revealing the vulnerable center to her seemingly impervious façade. But poor, confused Intoy isn’t really equipped to deal with the feelings involved.",image/jpeg
coll025,25.jpg,Niño,2011,Loy Arcenas,"Fides Cuyugan-Asensio, Shamaine Buencamino, Tony Mabesa, Art Acuña, Raquel Villavicencio",Drama,"The once illustrious Lopez-Aranda family has faded. Celia, once the darling of Philippine opera, and Gaspar, a distinguished ex-congressman, lacked the shrewdness to maintain their once elegant status. Saddled with a failed marriage, a vanishing career and mounting debt, Celia sold her share of their house to Gaspar, now bedridden. She managed to stay for free in exchange for being Gaspar’s caregiver. Gaspar loves listening to Celia’s arias. This idyllic arrangement is shattered when he slips into a coma. His daughter, Raquel, comes home from the US, determined to sell the house to salvage her own economic woes abroad. This signals Celia’s impending homelessness. With only a few heirlooms to sell, she is at her wits’ end. A fervent believer of the Sto. Nino, she hopes for a miracle. She dresses up her grandson, Antony, in Sto. Nino robes to prepare him for the coming fiesta.",image/jpeg
coll026,26.jpg,Ang Sayaw ng Dalawang Kaliwang Paa,2011,Alvin Yapan,"Jean Garcia, Paulo Avelino, Rocco Nacino",Drama,"An unconventional love triangle that springs from a college student’s infatuation with his much older dance teacher. Wanting her attention, he asked the class beadle for dance training. Little did he know that he is in love with him.",image/jpeg
coll027,27.jpg,Teoriya,2011,Zurich Chan,Alfred Vargas,Drama,"Teoriya is a story about loss that centers on the film’s main character, Jimmuel Apostol II. After hearing the news that his father has passed away, Jim goes back home to Zamboanga City after leaving ten years ago in bad terms with his father. He arrives in Zamboanga only to find that his father has already been buried and he doesn’t know where. Jim takes a journey around the Zamboanga peninsula and ultimately into his own self, finding the missing piece of his life.",image/jpeg
coll028,28.jpg,Bwakaw,2012,Jun Lana,"Eddie Garcia, Princess, Rez Cortez, Joey Paras, and Soliman Cruz",Drama; Comedy,"Gruff retiree Rene rejects most human contact, but begins to soften once he comes to terms with his homosexuality.",image/jpeg
coll029,29.jpg,Kalayaan,2012,"Adolfo Alix, Jr.","Ananda Everingham, Zanjoe Marudo, Luis Alandy",Experimental; Drama,"Julian is a soldier stationed on a remote island in the Philippines. He has finished his three months of service on the island and is ready to leave, but news of a coup d’état in Manilla forces Julian to stay on the island longer. All Julian has is a walkie-talkie, radio and TV. Meanwhile, Julian senses someone watching him. When Julian loses contact with the main base, soldiers Lucio and Eric are sent to the island. The soldiers then talk about a soldier previously stationed on the island and his encounters with a mermaid.",image/jpeg
coll030,30.jpg,Kamera Obskura,2012,Raymond Red,"Pen Medina, Joel Torre, Nanding Josef",Drama,"The title “Kamera Obskura” is a Filipino spelling of the latin “Camera Obscura” which simply means “dark room”. The film’s concept adheres to formalist cinema, where the filmmaker’s thesis is to make a semblance of a vintage film seemingly produced sometime in the late 1920s to early 1930s in the Philippines. The thesis is to conjure up a film from a period that did not really exist in Philippine cinema’s historical cultural heritage as we know it, such as a pseudo-expressionist / experimental Filipino cinema of the silent film era. It is a film within a film. The narrative plays with the idea of a retro-futurist world where a prisoner locked away in a dark chamber for over two decades only sees the reality of the world outside through the small hole in his cell, which projects an image of the city on his wall, the phenomenon of the “camera obscura”. ",image/jpeg
coll031,31.jpg,Mga Mumunting Lihim,2012,Jose Javier Reyes,"Judy Ann Santos, Iza Calzado, Agot Isidro, Janice de Belen",Drama,"The death of Mariel was met with such hurt by her three closest friends. But it was her best friend, Carla that she leaves a most special gift, a box full of her diaries through the years. Carla has been Mariel’s friend since their high school years; they have practically shared everything in their lives together. Their two other girl friends, Sandra and Olive formed the quartet who would get together ever so often and served as a mutual support system. Despite warnings from Sandra and Olive not to read the diaries left behind by Mariel, Carla could not help herself to find out what was written on those volumes of handwritten materials. True enough, what she discovered completely shattered all her perceptions and beliefs of the friendship shared by the four women through the years. ",image/jpeg
coll032,32.jpg,Posas,2012,Lawrence Fajardo,"Nico Antonio, Bangs Garcia, Wendy Valdez, and Art Acuña",Drama,"Stealing a middle-class woman’s smartphone is the biggest mistake in the petty-criminal life of Jestoni “Jess” Biag . It not only gets him locked up and waterboarded, but also gives him a crash-course in the workings of the deeply corrupt system personified by his nemesis Inspector Domingo. The phone’s memory contains an embarrassing video, which makes the owner Grace Rosuello determined to get it back; her persistence lands Jess in custody.",image/jpeg
coll033,33.jpg,The Animals,2012,Gino M. Santos,"Albie Casiño, Patrick Sugui, Dawn Balagot",Teen drama,"Set in an affluent, upper middle class village in the suburbs, “The Animals” chronicles a day in the life of Jake, Trina, and Alex, who go through the musings that every kid in high school has to deal with. All Jake wants to do is have a good time, Alex just wants to fit in, and Trina simply wants more. A very vivid picture is painted of life in high school after the final bell rings, as well as a different side of the Philippines, and what is happening to its privileged children. ",image/jpeg
coll034,34.jpg,Aparisyon,2012,Isabel Sandoval,"Jodi Sta. Maria, Mylene Dizon, Fides Cuyugan-Asensio, Raquel Villavicencio",Psychological drama; Thriller,"Tucked away in a remote forest, the convent of Adoration is inhabited by a group of nuns seeking a peaceful life of devotion and discipline, filling their days with nothing but mundane chores and prayers. But the wish for a life in isolation is threatened when President Ferdinand Marcos declares martial law, and political protests and chaos begin to infiltrate every corner of the archipelago. Suddenly, the nuns find themselves engulfed in violence and unrest that will eventually put their faith and conscience to the test.",image/jpeg
coll035,35.jpg,Mga Dayo,2012,Julius Sotomayor Cena,"Olga Natividad, Sue Prado, and Janela Buhain",Drama,"Guam, U.S.A. Thursday, November 24, Thanksgiving Day. Alex, a local newspaper photographer, gets into a “green card marriage” with her good friend James, a Guam-born Filipino. Miriam, a former member of the Philippine press and now an established Guam journalist, longs to repair a damaged relationship with her American husband. Ella, a hotel housekeeper for almost 20 years, finds means of sending her 88-year old mother to the Philippines with the uncertainty of coming back. As the island of Guam celebrates this classic American holiday when people count their blessings and give thanks, the lives of the three Filipina immigrants intersect and find themselves at a tug-o-war of sacrifice and significance where they must find their home or must they find it somewhere else.",image/jpeg
coll036,36.jpg,Diablo,2012,Mes de Guzman,"Ama Quiambao, and Carlo Aquino",Drama,"Every night, Nana Lusing lies on her bed sleepless because she sees a dark figure looming in her room. Who is this shadow? Is this the devil? Her late husband? A manifestation of her anxieties? Or simply a figment of her imagination?",image/jpeg
coll037,37.jpg,Intoy Shokoy ng Kalye Marino,2012,Lemuel Lorca,"JM De Guzman, Joross Gamboa, LJ Reyes",Drama,"Intoy has had the hots for Doray since they were kids in Kalye Marino, Cavite City, formerly the American Naval Base in Sangley Point. Both marginalized as the long-lasting effect of American abandonment of the said base, Intoy has become Kalye Marino’s best “tahong” caretaker-with-no-angst-about-poverty, while Doray a cheap prostitute-with-no-guilt, tending to her siblings’ needs. Intoy strives to have his own cages of “tahong” so he can have Doray, not for just a night of quickie sex, but forever. But what will he do to when she offers to drop by his hovel-on-stilts to quench his passion, but before it happens Nature has chosen to play a joke on his tahong cage? Will it be goodbye to his tahong business or to his damsel-in-distress and ultimately to Kalye Marino? From Eros S. Atalia’s 2001 Palanca Grand Prize-winning Short Story, Intoy Syokoy ng Kalye Marino is a love tale minus the obligatory romantic sentiments. ",image/jpeg
coll038,38.jpg,Ang Katiwala,2012,Aloy Adlawan,Dennis Trillo,Drama,"Ruben loses his job as a carpenter in a small town in Zambales where he lives with his wife Eden and their 10-year old son, Budoy. Desperate to make ends meet, he accepts a job as a caretaker of an abandoned property in Quezon City. Ruben soon finds out that the previous owner of the house is an important figure in the country’s history. When he is interviewed by a TV reporter about this historical figure, Ruben feels embarrassed that he knows nothing about him. Ruben soon starts reading up to get to know more about the life of this person, his accomplishments and what he has done for the people. Ruben’s fascination about the person’s life and his inevitable hero-worship irks the only friend he has in the sprawling compound, the night-shift security guard, Gimo, who jokes that Ruben is slowly being possessed by the soul of his new hero.",image/jpeg
coll039,39.jpg,Ang Nawawala,2012,Marie Jamora,"Dominic Roco, Dawn Zulueta, Felix Roco",Drama; Romance,"Gibson Bonifacio stopped speaking when he was a child. Now twenty, he returns home to Manila for Christmas. While always festive in the Philippines, for his family it is tinged with sadness, marking the anniversary of his twin brother’s death.",image/jpeg
coll040,40.jpg,Oros,2012,Paul Sta. Ana,"Tanya Gomez, Kristoffer King, Kristofer Martin",Drama,"The film set in a decadent world where even death becomes a provider. In a country where a cadaver may serve as license for holding a sakla operation (illegal gambling) in wakes, people may exploit the dead in order to generate income from the profits of gambling, and possibly pay for its burial. In Oros, a funeral parlor owner sells an unidentified body to Makoy, a kasero in a saklaan, who, along with his reluctant brother, Abet, set the stage for a three-week long fake wake holding the illegal saklaan. The sakla personnel deals with everyone involved, including Linda, an impoverished homeowner, as they agree upon a fictional story which will “legitimize” the wake. ",image/jpeg
coll041,41.jpg,REquieme!,2012,Loy Arcenas,"Shamaine Buencamino, Rez Cortez, Anthony Falcon",Black comedy,"Circus hijinks surround the barangay of Sta. Maria in the midst of an international murder sensation. Swanie, Sta. Maria’s barangay chair and a distant relative of the killer, tries to gain political points by staging a wake for the criminal-turned-celebrity. Meanwhile in faraway Manila, Joanna, Swanie’s runaway son, navigates his way through labyrinthine bureaucracy, to give a neighbor a proper burial. With these two unrelated deaths, estranged mother and son each bury the dead long shelved in their hearts. Amidst these unspoken family burials, the neighborhoods’ penchant for funeral fiestas, gossip and secrets, bizarre social events and the sheer mix of scandal and inebriation complete the picture of dying the Pinoy way.",image/jpeg
coll042,42.jpg,Sta. Niña,2012,Manny Palo,"Coco Martin, Alessandra de Rossi, Angel Aquino",Drama,"When Paulino Mungcal and his co-worker in a lahar-filled quarry unexpectedly dig up the remains of his 2-year daughter Marikit, they discover that she showed no signs of decay. Could this be a miracle, and could she – despite death – cure the sick? Inspired by whatever healing power the deceased child may have, Pol asks the church to declare her a saint. But how, when her resurgence stirs up emotions buried by time, and shores up questions about pure love, guilt, sin and salvation?",image/jpeg
coll043,43.jpg,Amor y Muerte,2013,Ces Evangelista,"Markki Stroem, Adrian Sebastian, Althea Vega, Ama Quiambao",Period drama; Erotic,"An erotic 16th Century period drama, the ﬁlm examines the initial encounter between the Indios (natives) and their colonizers (Spaniards) and their conﬂicting views on love, passion, religion and sexuality.",image/jpeg
coll044,44.jpg,Ekstra,2013,Jeffrey Jeturian,"Vilma Santos, Marlon Rivera, Vincent de Jesus, Tart Carlos",Drama; Comedy,"Ekstra, which stars the “Star for all Seasons” Vilma Santos, portrays the mundane and ordinary life of Loida Malabanan as an extra in a soap opera. As the film progresses, we also see the reality of the production's controlling system and the abuse of underprivileged workers like her through witnessing her struggles during shooting.",image/jpeg
coll045,45.jpg,Porno,2013,"Adolfo Alix, Jr.","Angel Aquino, Carlo Aquino, Yul Servo, Rosanna Roces",Drama,"The characters' lives are interconnected by the pornographic industry, including a hitman and his moll, a transgender performer at a club who longs for her kid, and a porn voice-over artist and pirate DVD dealer.",image/jpeg
coll046,46.jpg,Sana Dati,2013,Jerrold Tarog,"Lovi Poe, Paulo Avelino,  TJ Trinidad, Benjamin Alves",Romance,"Following Confessional (Cinema One Originals 2007) and Mangatyanan (Cinemalaya 2009), Sana Dati is the third installment of Tarog's Camera Trilogy. This romantic story tells the tale of a woman who is about to embark on her wedding day but was suddenly visited by a mysterious person who reminds her of her true love. The stranger's visit leads to further confusion and hesitation of the future bride. ",image/jpeg
coll047,47.jpg,Liars,2013,Gil Portes,"Alessandra de Rossi, Jan Harley Hicana, John Michael Bonapos",Drama,"Inspired by actual events, Liars tells the story of an impoverished baseball team and their lives being changed due to a journalist's (Eloisa) exposé of the truth.",image/jpeg
coll048,48.jpg,Babagwa,2013,Jason Paul Laxamana,"Alex Medina, Joey Paras, Kiko Matos, Alma Concepcion",Drama,"A web fraudster attempts to con a wealthy old maid using a fake and scamming Facebook page. However, as the story progresses, he falls in love with her.",image/jpeg
coll049,49.jpg,Debosyon,2013,Alvin Yapan,"Paulo Avelino, Mara Lopez",Drama,"Mando injures himself in the middle of the forest at the Mayon Volcano. He is a Bikolano devotee of Ina, the Virgin of Peafrancia, and the Patroness of Bikolandia. There, a peculiar woman named Salome tends to his medical needs and helps him recover. The pair develops a romantic relationship together, however, are faced with external struggles. True to its title, this film tackles how love and religion can become related to one another. ",image/jpeg
coll050,50.jpg,The Diplomat Hotel,2013,Christopher Ad Castillo,"Gretchen Barretto, Art Acuña, Mon Confiado, Joel Torre, Sue Prado",Horror,"Prominent news anchor Victoria Lansang has been asked to mediate a hostage situation. However, a tragedy happened in front of national television with a wide audience, leading to the deaths of individuals and Victoria's mental collapse. She wants to regain herself a year later, but her only redemption includes creating a documentary on The Diplomat Hotel's final night as it is an abandoned building that has gained notoriety for its gory history and hauntings.",image/jpeg
coll051,51.jpg,Instant Mommy,2013,Leo Abaya,"Eugene Domingo, Yuki Matsuzaki",Romantic comedy,"This film is about Bechayda's story as a pregnant wardrobe assistant for a TV commercial production who has a Japanese boyfriend. Set in a highly visual environment, she starts working on a plan to prevent losing her boyfriend and fulfill her hopes for a better life. ",image/jpeg
coll052,52.jpg,Nuwebe,2013,Joseph Israel Laban,"Barbara Miguel, Jake Cuenca, Nadine Samonte, Anita Linda",Drama,"Nuwebe is based on the true account of one of the youngest moms in Philippine history, Krista, who becomes pregnant at the early age of nine after being sexually abused by her own father. Despite her tragic circumstances, Krista has remarkable perseverance and resilience to overcome her past trauma. Meanwhile, her mother struggles with the conflict between her love for her husband and her love for her daughter",image/jpeg
coll053,53.jpg,Purok 7,2013,Carlo Obispo,"Krystle Valentino, Miggs Cuaderno, Julian Trono, Arnold Reyes, Angeli Bayani",Drama,"In this rural dramedy, Purok 7 features the story of Diana and her younger brother who live on their own after their mother departs for another country and their father leaves them for another woman. Depicting the deeper side of rural living, we witness the daily struggles of the main characters and the tales of their youth as they live their country lifestyle. ",image/jpeg
coll054,54.jpg,Quick Change,2013,Eduardo Roy Jr.,"Mimi Juareza, Junjun Quintana, Miggs Cuaderno, Natashia Yumi, Felipe Martinez",Drama,"Quick change follows the story of Dorina, who has a thriving career in an illegal cosmetic surgery company and fully believes she is a woman confined in a masculine body.  Her eight-year-old nephew Hero sees her as a mother figure and she behaves like an obedient wife to Uno -- but when Uno falls in love with another transgender, Dorina begins to doubt her luck with her work and her family.",image/jpeg
coll055,55.jpg,Rekorder,2013,Mikhail Red,"Ronnie Quizon, Suzette Ranillo, Belinda Mariano, Glenn Barit, Mandy Guballa, Paolo Bañaga, Easy Ferrer",Drama,"Rekorder is about the exploits of a former film cameraman from the 1980s, who is now a Manila-based movie thief. He frequently brings a digital camcorder into cinemas to secretly record movies. However, one video quickly becomes popular as he recorded something else one night.",image/jpeg
coll056,56.jpg,Transit,2013,Hannah Espia,"Ping Medina, Marc Alvarez, Irma Adlawan, Mercedes Cabral, Jasmine Curtis",Drama,"The film centers on Moises, a single Filipino father who works as a caretaker in Herzliya, Israel, and returns to his Tel Aviv apartment for his son's 4th birthday celebration. Moises learns that the Israeli government would be deporting children of foreign employees along with their Filipino neighbors Janet and her daughter Yael. Moises and Janet decide to keep their kids hidden inside their home to keep them away from the immigration authorities.",image/jpeg
coll057,57.jpg,David F.,2013,Manny Palo,"Quester Hannah, Sid Lucero, Art Acuña, Rocky Salumbides, Mitch Valdez, Shamaine Buencamino, Anita Linda",Drama,"Daniel F. features three stories that are woven together, which examine the history of African Americans in the Philippines. Beginning with the Philippine-American War in the early 1900s, two Filipinos are after David Fagan, an African-American soldier who abandoned the U.S. army to join the Filipino rebels, in order to collect the prize money for capturing him. The second story is about a Filipina with a black-skinned child during the Japanese occupation before General Douglas MacArthur's homecoming in 1944. Lastly, a black, homosexual impersonator at a comedy club in the present times searches for his father who left him.",image/jpeg
coll058,58.jpg,Asintado,2014,Louie Ignacio,"Aiko Melendez, Gabby Eigenmann, Rochelle Pangilinan, Jake Vargas, and Miggs Cuaderno",Drama; Thriller,"The story is set in the rural neighborhood of Bibiclat in Nueva Ecija, where 'taongputik' (an ancient religious tradition) is practiced. While this is going on, the mother of a 16-year-old boy who fails a drug courier job and is about to be murdered for it encourages his mentally challenged sibling to kill the drug dealer in order to save him. He turns the feast into a source of income under the harsh control of Carias by selling the rights to fund a fake ""taongputik"" event. Miguel is lured by Carias to take on a drug courier job that falls badly in the thick of the town festival preparations.",image/jpeg
coll059,59.jpg,Hari ng Tondo,2014,Carlos Siguion-Reyna,"Robert Arevalo, Cris Villonco, Rafa Siguion-Reyna, Aiza Seguerra, and Eric Quizon, and Ali Sotto",Comedy drama,"On the same day that Ricardo Villena learns he has lost his inheritance, he also learns that his granddaughter Anna's wedding will not go forward and that his grandson Ricky won't be graduating from college once again. To teach them a lesson, Ricardo invites them to his birthplace, Tondo, where he lives in a run-down tenement building known as ""alapaap"". He believes that the children's inability to handle life's challenges is due to their high-class lifestyle and upbringing.",image/jpeg
coll060,60.jpg,Hustisya,2014,Joel Lamangan,"Nora Aunor,  Rocco Nacino, Rosanna Roces, Sunshine Dizon, Romnick Sarmenta, Chynna Ortaleza, Gardo Versoza, Sue Prado, Jeric Gonzales, and Chanel LaTorre",Drama; Political thriller,"Birings is a foul-mouthed employee of Vivian, who runs a human trafficking organization that is run under the direction of a strong syndicate. Biring is forced to face the harsh reality and encounter the corruption and greed ingrained in the Philippine justice system when she is set up for a murder perpetrated by Vivian.",image/jpeg
